csduid,year,pop,inc,hou30,car
3518001,1991,68450,4850,16300,1200
3518001,1996,78850,7300,23300,2250
3518001,2001,87200,6000,17650,2550
3518001,2006,87800,8700,22550,3200
3518001,2011,88700,7900,21000,3050
3518001,2016,91800,8300,22750,2800
3518005,1991,57300,4750,17050,1700
3518005,1996,64550,6800,19700,2800
3518005,2001,73750,5950,17700,2900
3518005,2006,90250,9600,26100,3600
3518005,2011,109600,10100,30600,3700
3518005,2016,119800,12550,32900,4550
3518009,1991,61350,3900,13250,3400
3518009,1996,73750,6500,17950,3400
3518009,2001,87400,5100,16700,3950
3518009,2006,111200,7800,26900,5350
3518009,2011,122050,10700,26800,6350
3518009,2016,128300,7600,26950,4950
3518013,1991,132300,16500,31000,7350
3518013,1996,134400,21950,39850,13950
3518013,2001,139000,18750,34450,13550
3518013,2006,141550,18400,37150,14150
3518013,2011,149500,19400,39600,13300
3518013,2016,159350,19600,45700,15300
3518017,1991,49500,2700,11350,1350
3518017,1996,60600,4800,16700,1950
3518017,2001,69750,3950,13050,2600
3518017,2006,77800,4450,16850,2450
3518017,2011,84700,6650,19150,2100
3518017,2016,92100,3850,17600,1800
3518029,1991,14100,550,2550,400
3518029,1996,15850,1050,4250,700
3518029,2001,17400,850,4150,650
3518029,2006,19250,1150,4650,550
3518029,2011,20600,1750,4800,800
3518029,2016,21200,850,4650,700
3519028,1991,111400,8150,27500,2250
3519028,1996,132600,16000,42950,3950
3519028,2001,182050,14900,44000,5500
3519028,2006,238850,25250,68150,7900
3519028,2011,288350,27650,82500,10000
3519028,2016,306200,29850,88550,8550
3519036,1991,153700,11550,41250,4300
3519036,1996,173400,25100,64050,5750
3519036,2001,208750,26250,56500,6400
3519036,2006,261550,41850,84300,9100
3519036,2011,301850,39600,88900,7750
3519036,2016,328900,56900,111400,13100
3519038,1991,80150,6950,20300,2450
3519038,1996,101900,17800,38550,5400
3519038,2001,132100,16650,37600,4100
3519038,2006,162600,25750,54300,7750
3519038,2011,185700,23150,56650,7250
3519038,2016,195050,34450,72250,8800
3519044,1991,18400,750,4400,150
3519044,1996,19800,1100,5800,950
3519044,2001,21950,750,4450,650
3519044,2006,24300,1350,6150,500
3519044,2011,37650,3450,10200,1000
3519044,2016,45800,2400,12350,1100
3519046,1991,29550,2300,6600,1200
3519046,1996,34900,3250,8600,1250
3519046,2001,40250,2400,7300,900
3519046,2006,47650,3850,11000,2350
3519046,2011,53250,3950,11500,1400
3519046,2016,55450,5500,14050,1500
3519048,1991,45500,3900,10450,1650
3519048,1996,57050,6500,15150,3300
3519048,2001,65750,5650,13750,4000
3519048,2006,74350,7350,19500,4350
3519048,2011,80000,6900,19000,5600
3519048,2016,84350,9700,22400,4100
3519049,1991,18000,1000,3350,950
3519049,1996,18250,950,4550,250
3519049,2001,18550,900,3450,400
3519049,2006,19500,1050,3950,200
3519049,2011,19900,1550,6100,300
3519049,2016,24500,1250,6300,300
3519054,1991,18350,550,3850,550
3519054,1996,19750,1400,5050,350
3519054,2001,20550,1300,4350,150
3519054,2006,21050,900,4100,550
3519054,2011,22500,1400,4650,350
3519054,2016,24000,1350,5400,200
3519070,1991,29800,2750,8900,1750
3519070,1996,34900,4450,13400,1800
3519070,2001,39250,4050,10900,1650
3519070,2006,42300,5200,12200,1800
3519070,2011,43500,4750,12200,1350
3519070,2016,45450,2950,12500,1950
3520005,1991,2275750,434600,530650,452750
3520005,1996,2383900,658950,949800,575300
3520005,2001,2481500,558750,799750,583650
3520005,2006,2501250,610800,896100,601000
3520005,2011,2615050,505050,896250,565700
3520005,2016,2731800,675400,977350,703600
3521005,1991,463600,50250,118650,24900
3521005,1996,545150,89550,182150,37800
3521005,2001,613300,77850,157600,39450
3521005,2006,668750,104850,206550,46650
3521005,2011,713500,96800,215500,48050
3521005,2016,721750,120450,221950,54550
3521010,1991,234350,19550,63150,6450
3521010,1996,267750,36550,93000,13850
3521010,2001,325100,35150,84250,17100
3521010,2006,433800,60350,149750,20350
3521010,2011,524000,63100,172050,27350
3521010,2016,593700,75250,201650,24350
3521024,1991,34950,1200,6800,500
3521024,1996,39900,1950,11100,750
3521024,2001,50700,2350,9800,950
3521024,2006,57300,2600,12650,1050
3521024,2011,59450,4050,12650,1050
3521024,2016,66500,2550,14450,950
3524001,1991,114550,7500,22400,4200
3524001,1996,128500,12800,31450,7800
3524001,2001,144700,11350,26550,6050
3524001,2006,165800,16100,37500,7250
3524001,2011,182500,15550,42450,7050
3524001,2016,193800,22100,46550,6950
3524002,1991,129500,10250,23050,4600
3524002,1996,137050,14300,30800,6500
3524002,2001,150850,12250,29950,7250
3524002,2006,164500,15500,36800,9700
3524002,2011,175800,13250,38750,9400
3524002,2016,183400,14900,41450,6900
3524009,1991,32050,1650,5600,1350
3524009,1996,32150,2050,7250,1200
3524009,2001,31550,1250,6100,1250
3524009,2006,53950,2750,12900,1550
3524009,2011,84350,5850,19550,1950
3524009,2016,110250,7000,27550,950
3524015,1991,36800,1700,7550,2050
3524015,1996,42450,2650,10750,2150
3524015,2001,48150,2000,8500,2050
3524015,2006,55300,2800,11950,2050
3524015,2011,59050,3350,11050,1650
3524015,2016,61150,2100,11050,1950
3525005,1991,451650,78950,95300,59300
3525005,1996,467850,103250,139950,66550
3525005,2001,490600,97650,125500,63300
3525005,2006,504650,91100,131550,72050
3525005,2011,519900,76950,129950,68350
3525005,2016,537150,93950,134000,60400
